"","Date","Team","Acquired","Relinquished","Notes"
"2","1951-12-25","Bullets",""," Don Barksdale","placed on IL"
"3","1952-12-26","Knicks",""," Max Zaslofsky","placed on IL with torn side muscle"
"4","1956-12-29","Knicks",""," Jim Baechtold","placed on inactive list"
"5","1959-01-16","Lakers",""," Elgin Baylor","player refused to play after being denied a room in team's hotel"
"6","1961-11-26","Lakers",""," Elgin Baylor","player reported for military duty"
"7","1962-03-24","Lakers"," Elgin Baylor","","player given 2-day pass from military duty"
"8","1962-03-31","Lakers"," Elgin Baylor","","player given weekend pass from military duty"
"9","1962-10-25","Zephyrs",""," Al Ferrari","placed on disabled list"
"10","1962-11-06","Zephyrs"," Al Ferrari","","activated from disabled list"
"11","1962-11-14","Zephyrs",""," Al Ferrari","placed on disabled list with knee injury"
"12","1965-09-11","Pistons",""," Terry Dischinger","service in army (date approximate)"
"13","1969-10-15","Bucks",""," Bob Greacen","placed on IL with sprained ankle"
"14","1969-10-28","Bucks"," Bob Greacen","","activated from IL"
"15","1969-12-03","Bucks",""," John Arthurs","deployed to National Guard for remainder of the season"
"16","1970-01-24","Bucks",""," Guy Rodgers","placed on IL with torn leg muscle"
"17","1971-09-15","Colonels (ABA)",""," Jim Welch / Poo Welch","placed on IL"
"18","1971-10-30","Squires (ABA)"," Doug Moe","","""activated"""
"19","1971-11-08","Chaparrals (ABA)"," Eugene Kennedy / Gene Kennedy / Goo Kennedy","","""activated"""
"20","1972-10-10","Cavaliers",""," Bobby Washington","placed on IL"
"21","1972-11-04","Cavaliers",""," Rick Roberson","placed on IL with pulled hamstring"
"22","1972-11-10","Tams (ABA)",""," Merv Jackson","placed on IL"
"23","1972-11-11","Tams (ABA)",""," Randy Denton","placed on IL"
"24","1972-11-28","Tams (ABA)"," Merv Jackson","","activated from IL"
"25","1972-12-16","Tams (ABA)"," Randy Denton","","activated from IL"
"26","1973-02-24","Kings",""," John Green (a) / Johnny Green","placed on IL"
"27","1973-02-24","Kings"," Frank Schade","","activated from IL"
"31","1973-03-19","Bulls"," Tom Boerwinkle","","activated from IL"
"41","1973-11-07","Rockets"," George Johnson (E.)","","""activated"""
"51","1974-01-31","Nets (ABA)"," Jim O'Brien (M.)","","""activated"""
"61","1974-03-27","Bucks",""," Lucius Allen","placed on IL with torn cartilage in knee (out for season)"
"71","1974-03-27","Bucks"," Dick Cunningham","","activated from IL"
"81","1974-10-16","Bucks",""," Kareem Abdul-Jabbar / Lew Alcindor","placed on IL with fractured right hand and lacerated left eye"
"91","1974-10-16","Bucks"," Dick Cunningham","","activated from IL"
"101","1974-10-17","Spirits (ABA)"," Gilbert McGregor / Gil McGregor","","""activated"""
"111","1974-10-28","Bucks",""," Dick Cunningham","placed on IL"
"121","1974-10-28","Knicks",""," Melvin Davis / Mel Davis","placed on IL with shoulder injury"
"131","1974-10-28","Knicks"," Howard Porter","","activated from IL"
"141","1974-11-05","Colonels (ABA)"," John Roche","","activated from IR"
"151","1974-11-07","Spirits (ABA)",""," Bernie Fryer","placed on IL with torn thigh muscle"
"161","1974-11-14","Knicks"," Melvin Davis / Mel Davis","","""restored to active list"""
"171","1974-11-21","Colonels (ABA)",""," Ted McClain","placed on IR with torn calf muscle"
"181","1974-12-05","Hawks",""," Lou Hudson","placed on IL with right elbow inflammation"
"191","1975-01-23","Spirits (ABA)",""," Mike Barr","placed on IL with viral illness"
"201","1975-02-25","Stars (ABA)"," Henry Wilmore","","""reactivated"""
"211","1975-03-07","Celtics"," Phil Hankinson","","""activated"""
"221","1975-10-20","Braves",""," Tom McMillen","placed on IL with bruised right heel"
"231","1975-10-22","76ers",""," LeRoy Ellis","placed on IL"
"241","1975-10-22","Knicks",""," Larry Fogle","placed on IL"
"251","1975-10-22","Pistons",""," Terry Thomas","placed on IL"
"261","1975-11-11","Braves"," Tom McMillen","","activated from IL"
"28","1975-11-24","Knicks"," Larry Fogle","","activated from IL"
"32","1976-01-17","Jazz",""," Ron Behagen","placed on IL with hairline fracture below left eye (date approximate)"
"42","1976-02-16","Jazz"," Ron Behagen","","activated from IL"
"52","1976-10-20","76ers",""," Clyde Lee","placed on IL"
"62","1976-10-20","76ers",""," Mel Bennett","placed on IL"
"72","1976-10-20","Bucks",""," Lloyd Walton","placed on IL"
"82","1976-10-20","Cavaliers",""," Chuck Williams / Chuckie Williams","placed on IL"
"92","1976-10-20","Cavaliers",""," Luke Witte","placed on IL"
"102","1976-10-20","Hawks",""," Geoff Petrie","placed on IL"
"112","1976-10-20","Knicks",""," Alfred Beard / Butch Beard","placed on IL"
"122","1976-10-20","Knicks",""," Jim Barnett","placed on IL"
"132","1976-10-20","Pistons",""," John Mengelt","placed on IL"
"142","1976-10-20","Sonics",""," Dean Tolson","placed on IL"
"152","1976-10-20","Warriors",""," Dwight Davis","placed on IL"
"162","1976-11-01","Lakers",""," Stu Lantz","placed on IL (date approximate)"
"172","1976-11-10","Bucks",""," Kevin Restani","placed on IL"
"182","1976-12-11","Bucks"," Kevin Restani","","activated from IL"
"192","1976-12-15","Bulls",""," Jack Marin","placed on IL recovering from surgery to remove benign tumor in groin area"
"202","1977-01-12","Bulls",""," Keith Starr","placed on IL (date approximate)"
