name,team_abb,team_name,ortg_month_before,ortg_bubble_seeding,ortg_bubble_playoffs,drtg_month_before,drtg_bubble_seeding,drtg_bubble_playoffs,netrtg_month_before,netrtg_bubble_seeding,netrtg_bubble_playoffs
Aaron Gordon,ORL,Orlando Magic,118.9,115.9,NA,113.8,102.7,NA,5.1,13.2,NA
Aaron Holiday,IND,Indiana Pacers,102.4,107.5,108,104.2,104,133.1,-1.7,3.5,-25.1
Al Horford,PHI,Philadelphia 76ers,119.4,115.9,103.4,115.6,114.8,121.6,3.9,1.1,-18.2
Anfernee Simons,POR,Portland Trail Blazers,107.6,114.6,117.4,117.3,94.4,112.1,-9.7,20.1,5.3
Anthony Davis,LAL,Los Angeles Lakers,111.9,104.1,117.4,102.1,112.5,105.8,9.8,-8.4,11.6
Bam Adebayo,MIA,Miami Heat,112.2,116.5,114.2,110.2,106.8,109.5,2,9.7,4.7
Ben McLemore,HOU,Houston Rockets,117.7,100.5,119,112.2,107.7,102.6,5.5,-7.2,16.4
Ben Simmons,PHI,Philadelphia 76ers,107.1,108.1,NA,104,115.4,NA,3.1,-7.3,NA
Bogdan Bogdanovic,SAC,Sacramento Kings,113.5,114.7,NA,114.1,113.5,NA,-0.5,1.1,NA
Brandon Ingram,NOP,New Orleans Pelicans,111.7,102.2,NA,101.1,113.8,NA,10.6,-11.6,NA
Brook Lopez,MIL,Milwaukee Bucks,103.4,114.5,107.2,97.1,105.7,106.1,6.3,8.9,1.1
Buddy Hield,SAC,Sacramento Kings,112.1,107.4,NA,106,121.8,NA,6.1,-14.5,NA
CJ McCollum,POR,Portland Trail Blazers,114.8,121.3,103.1,114.5,122.7,116.2,0.4,-1.3,-13.1
Cameron Johnson,PHX,Phoenix Suns,105.9,123.3,NA,109.8,108.1,NA,-3.9,15.2,NA
Caris LeVert,BKN,Brooklyn Nets,110.4,117.6,101.7,108.4,115.5,119.6,1.9,2.1,-18
Carmelo Anthony,POR,Portland Trail Blazers,113.2,118.1,100.3,114.5,115.9,117.4,-1.3,2.3,-17.1
Chris Chiozza,BKN,Brooklyn Nets,103.1,114.5,92.5,103.6,106.5,125.9,-0.5,8,-33.4
Chris Paul,OKC,Oklahoma City Thunder,117.5,110.3,100.7,108.6,101.9,108.1,8.9,8.4,-7.4
Damian Lillard,POR,Portland Trail Blazers,113.9,123.8,97.7,114.8,121.7,113.3,-0.9,2.2,-15.6
Daniel Theis,BOS,Boston Celtics,112,105.5,108.9,106.3,103.4,104.4,5.7,2.1,4.5
Danilo Gallinari,OKC,Oklahoma City Thunder,118.3,118.2,103.3,110.9,104.6,113,7.5,13.5,-9.7
Danny Green,LAL,Los Angeles Lakers,110.1,100,120.9,103.9,115.7,105,6.3,-15.7,15.8
Danuel House Jr.,HOU,Houston Rockets,108.5,111.5,109.8,109,104.7,107.2,-0.5,6.9,2.6
Dario Saric,PHX,Phoenix Suns,113.1,114.9,NA,117,110.9,NA,-3.9,4,NA
De'Aaron Fox,SAC,Sacramento Kings,114.1,109.8,NA,117,120.8,NA,-2.9,-11,NA
DeMar DeRozan,SAS,San Antonio Spurs,112,116.8,NA,116.6,111.5,NA,-4.6,5.3,NA
Deandre Ayton,PHX,Phoenix Suns,106.4,120.6,NA,111.2,108.9,NA,-4.8,11.6,NA
Dejounte Murray,SAS,San Antonio Spurs,110.3,112.4,NA,118,111.7,NA,-7.6,0.7,NA
Derrick Favors,NOP,New Orleans Pelicans,115.8,104.5,NA,100.8,111.8,NA,15,-7.3,NA
Derrick Jones Jr.,MIA,Miami Heat,115.6,116.8,90.3,112,113.6,103.3,3.6,3.2,-13
Derrick White,SAS,San Antonio Spurs,107.3,117.3,NA,108,107.4,NA,-0.7,9.9,NA
Devin Booker,PHX,Phoenix Suns,114.7,124.9,NA,116.1,109.4,NA,-1.4,15.4,NA
Dillon Brooks,MEM,Memphis Grizzlies,105.3,108.1,NA,104.1,108.8,NA,1.2,-0.7,NA
Donovan Mitchell,UTA,Utah Jazz,109.4,108.2,122.6,116.4,104.8,116.1,-7,3.5,6.5
