"","Relinquished","X","Date","Team","Acquired","Notes","slugPlayerBREF","isActive","yearsPlayer","countSeasons","slugSeasonRookie","slugSeasonLast","urlPlayerBioBREF","year","position1","hand","typeInjury"
"1","A.J. Hammons",131025,"2017-10-18","Heat","","placed on IL with illness","hammoaj01",FALSE,"2017",1,"2016-17","2016-17","https://www.basketball-reference.com/players/h/hammoaj01.html",2017,"Center","Right","illness"
"2","Aaron Brooks",26951,"2016-10-28","Pacers","","placed on IL with sore knee","brookaa01",FALSE,"2008-2018",11,"2007-08","2017-18","https://www.basketball-reference.com/players/b/brookaa01.html",2016,"PointGuard","Right","knee"
"3","Aaron Brooks",23987,"2017-01-23","Pacers","","placed on IL with sore right knee","brookaa01",FALSE,"2008-2018",11,"2007-08","2017-18","https://www.basketball-reference.com/players/b/brookaa01.html",2017,"PointGuard","Right","knee"
"4","Aaron Brooks",251064,"2017-12-27","Timberwolves","","placed on IL with illness","brookaa01",FALSE,"2008-2018",11,"2007-08","2017-18","https://www.basketball-reference.com/players/b/brookaa01.html",2017,"PointGuard","Right","illness"
"5","Aaron Gordon",12942,"2016-04-08","Magic","","placed on IL with concussion","gordoaa01",TRUE,"2015-2021",7,"2014-15","2020-21","https://www.basketball-reference.com/players/g/gordoaa01.html",2016,"PowerForward","Right","concussion"
"6","Aaron Gordon",12942,"2016-04-08","Magic","","placed on IL with concussion","gordoaa01",TRUE,"2015-2021",7,"2014-15","2020-21","https://www.basketball-reference.com/players/g/gordoaa01.html",2016,"SmallForward","Right","concussion"
"7","Aaron Gordon",191267,"2021-02-01","Magic","","placed on IL with sprained left ankle","gordoaa01",TRUE,"2015-2021",7,"2014-15","2020-21","https://www.basketball-reference.com/players/g/gordoaa01.html",2021,"PowerForward","Right","ankle"
"8","Aaron Gordon",191267,"2021-02-01","Magic","","placed on IL with sprained left ankle","gordoaa01",TRUE,"2015-2021",7,"2014-15","2020-21","https://www.basketball-reference.com/players/g/gordoaa01.html",2021,"SmallForward","Right","ankle"
"9","Aaron Gordon",141234,"2020-03-02","Magic","","placed on IL with right knee inflammation","gordoaa01",TRUE,"2015-2021",7,"2014-15","2020-21","https://www.basketball-reference.com/players/g/gordoaa01.html",2020,"PowerForward","Right","knee"
"10","Aaron Gordon",141234,"2020-03-02","Magic","","placed on IL with right knee inflammation","gordoaa01",TRUE,"2015-2021",7,"2014-15","2020-21","https://www.basketball-reference.com/players/g/gordoaa01.html",2020,"SmallForward","Right","knee"
"11","Aaron Gordon",26862,"2015-02-04","Magic","","placed on IL with sore left foot","gordoaa01",TRUE,"2015-2021",7,"2014-15","2020-21","https://www.basketball-reference.com/players/g/gordoaa01.html",2015,"PowerForward","Right","foot"
